-3.44851 3.39216 -4.01392 -1.51231 0.16020 3.72629 -2.48355 1.10395 -4.88475 -1.90896 0.58338 -2.08215 -2.03655 -3.05753 4.23075 -1.06318 -1.12881 -4.18308 0.48204 2.46136 2.12056 -2.93103 2.29406 -2.99669 3.26538 2.15203 -0.64695 -4.96565 -0.11609 4.41067 2.92612 -0.10311 
2.92189 -4.96531 -1.84695 -2.39591 -2.18405 -3.57326 -3.89359 -2.63371 -4.90754 4.74272 4.25870 1.18559 -0.18597 -2.90582 0.94930 -4.21777 -2.67102 -0.14273 -0.69538 -4.35776 1.18765 4.63701 3.17292 2.40931 0.09435 -1.15124 -4.93011 2.31649 -3.02318 -0.88534 -1.65250 -3.20268 
41.09123 54.18855 23.83946 45.93411 15.42193 57.09691 43.42780 26.88715 52.09456 38.18670 47.68190 13.10630 10.52935 20.13867 28.09662 27.68594 26.27016 27.19537 34.01692 61.02055 14.82352 47.53485 33.40733 33.20713 23.34252 14.36794 41.70483 44.31323 11.80314 41.18835 28.10091 19.36463 
-3.34851 3.29216 -3.91392 -1.61231 0.06020 3.62629 -2.38355 1.00722 -4.78475 -2.00896 0.48338 -2.04972 -2.03655 -2.95753 4.13075 -1.16318 -1.22881 -4.08308 0.38204 2.36136 2.02056 -2.83103 2.19406 -2.89669 3.16538 2.05203 -0.74695 -4.86565 -0.21609 4.31067 2.82612 -0.15353 
2.82189 -4.86531 -1.74695 -2.29591 -2.08405 -3.47326 -3.79359 -2.55831 -4.80754 4.64272 4.15870 1.08559 -0.18597 -2.80582 0.84930 -4.11777 -2.57102 -0.15076 -0.59538 -4.25776 1.08765 4.53701 3.07292 2.30931 -0.00565 -1.05124 -4.83011 2.21649 -2.92318 -0.78534 -1.55250 -3.12402 
40.61250 50.49980 23.83946 38.32761 6.41615 57.09691 43.42780 26.88715 52.09456 38.18670 42.04681 7.27535 10.52935 20.13867 25.13087 25.73518 26.27016 22.18673 34.01692 50.63213 6.82742 47.53485 21.84521 29.39849 14.95599 6.35943 39.25545 39.85388 11.80314 40.71668 28.10091 16.97129 
-3.24851 3.19216 -3.81392 -1.51231 0.16020 3.52629 -2.28355 1.10722 -4.68475 -1.90896 0.58338 -1.94972 -1.93655 -2.85753 4.03075 -1.06318 -1.12881 -3.98308 0.48204 2.26136 1.93397 -2.73103 2.09406 -2.79669 3.06538 1.95203 -0.80558 -4.76565 -0.11609 4.21067 2.72612 -0.05353 
2.72189 -4.76531 -1.64695 -2.19591 -1.98405 -3.37326 -3.69359 -2.45831 -4.70754 4.54272 4.05870 0.98559 -0.28597 -2.70582 0.74930 -4.01777 -2.47102 -0.25076 -0.69538 -4.15776 0.98765 4.43701 2.97292 2.20931 -0.10565 -0.95124 -4.73011 2.11649 -2.82318 -0.71080 -1.45250 -3.02402 
39.62493 48.38266 23.83946 33.74579 6.41615 57.09691 43.42780 26.88715 52.09456 38.18670 36.14460 5.30870 10.52935 20.13867 25.13087 18.11255 26.27016 22.18673 34.01692 37.63763 5.59410 47.53485 15.06388 27.28195 12.36326 5.63167 39.25545 38.77044 11.80314 38.22724 28.10091 9.82143 
-3.14851 3.09216 -3.71392 -1.61231 0.06020 3.42629 -2.18355 1.00722 -4.58475 -1.81908 0.48338 -1.84972 -1.85467 -2.75753 3.93075 -1.16318 -1.22881 -3.88308 0.38204 2.16136 1.83397 -2.63103 1.99406 -2.69669 2.96538 1.85203 -0.90558 -4.66565 -0.05774 4.11067 2.62612 -0.15353 
