 50.0  50.9  54.9  60.2  64.3  65.2  62.5  56.6  49.5  43.7  41.0  42.1  46.3  51.8  56.1  57.2  54.7  49.0  42.1  36.5  34.0  35.3  39.7  45.4  49.9  51.2  48.9  43.4  36.7  31.3  29.0  30.5  35.1  41.0  45.7  47.2  45.1  39.8  33.3  28.1  26.0  27.7  32.5  38.6  43.5  45.2  43.3  38.2  31.9  26.9  25.0  26.9  31.9  38.2  43.3  45.2  43.5  38.6  32.5  27.7  26.0  28.1  33.3  39.8  45.1  47.2  45.7  41.0  35.1  30.5  29.0  31.3  36.7  43.4  48.9  51.2  49.9  45.4  39.7  35.3  34.0  36.5  42.1  49.0  54.7  57.2  56.1  51.8  46.3  42.1  41.0  43.7  49.5  56.6  62.5  65.2  64.3  60.2  54.9  50.9  50.0 
 50.9  51.8  55.9  61.1  65.2  66.2  63.4  57.5  50.5  44.6  41.9  43.0  47.3  52.7  57.0  58.2  55.6  49.9  43.1  37.4  34.9  36.2  40.7  46.3  50.8  52.2  49.8  44.3  37.7  32.2  29.9  31.4  36.1  41.9  46.6  48.2  46.0  40.7  34.3  29.0  26.9  28.6  33.5  39.5  44.4  46.2  44.2  39.1  32.9  27.8  25.9  27.8  32.9  39.1  44.2  46.2  44.4  39.5  33.5  28.6  26.9  29.0  34.3  40.7  46.0  48.2  46.6  41.9  36.1  31.4  29.9  32.2  37.7  44.3  49.8  52.2  50.8  46.3  40.7  36.2  34.9  37.4  43.1  49.9  55.6  58.2  57.0  52.7  47.3  43.0  41.9  44.6  50.5  57.5  63.4  66.2  65.2  61.1  55.9  51.8  50.9 
 54.9  55.9  59.9  65.1  69.2  70.2  67.4  61.5  54.5  48.7  45.9  47.1  51.3  56.7  61.0  62.2  59.6  53.9  47.1  41.5  38.9  40.3  44.7  50.3  54.8  56.2  53.8  48.3  41.7  36.3  33.9  35.5  40.1  45.9  50.6  52.2  50.0  44.7  38.3  33.1  30.9  32.7  37.5  43.5  48.4  50.2  48.2  43.1  36.9  31.9  29.9  31.9  36.9  43.1  48.2  50.2  48.4  43.5  37.5  32.7  30.9  33.1  38.3  44.7  50.0  52.2  50.6  45.9  40.1  35.5  33.9  36.3  41.7  48.3  53.8  56.2  54.8  50.3  44.7  40.3  38.9  41.5  47.1  53.9  59.6  62.2  61.0  56.7  51.3  47.1  45.9  48.7  54.5  61.5  67.4  70.2  69.2  65.1  59.9  55.9  54.9 
 60.2  61.1  65.1  70.4  74.4  75.4  72.6  66.8  59.7  53.9  51.2  52.3  56.5  62.0  66.2  67.4  64.8  59.2  52.3  46.7  44.2  45.5  49.9  55.6  60.0  61.4  59.0  53.6  46.9  41.5  39.2  40.7  45.3  51.2  55.8  57.4  55.2  50.0  43.5  38.3  36.2  37.9  42.7  48.8  53.6  55.4  53.4  48.4  42.1  37.1  35.2  37.1  42.1  48.4  53.4  55.4  53.6  48.8  42.7  37.9  36.2  38.3  43.5  50.0  55.2  57.4  55.8  51.2  45.3  40.7  39.2  41.5  46.9  53.6  59.0  61.4  60.0  55.6  49.9  45.5  44.2  46.7  52.3  59.2  64.8  67.4  66.2  62.0  56.5  52.3  51.2  53.9  59.7  66.8  72.6  75.4  74.4  70.4  65.1  61.1  60.2 
 64.3  65.2  69.2  74.4  78.5  79.5  76.7  70.8  63.8  58.0  55.3  56.4  60.6  66.0  70.3  71.5  68.9  63.2  56.4  50.8  48.3  49.6  54.0  59.6  64.1  65.5  63.1  57.6  51.0  45.6  43.3  44.8  49.4  55.2  59.9  61.5  59.3  54.0  47.6  42.4  40.3  42.0  46.8  52.8  57.7  59.5  57.5  52.4  46.2  41.2  39.3  41.2  46.2  52.4  57.5  59.5  57.7  52.8  46.8  42.0  40.3  42.4  47.6  54.0  59.3  61.5  59.9  55.2  49.4  44.8  43.3  45.6  51.0  57.6  63.1  65.5  64.1  59.6  54.0  49.6  48.3  50.8  56.4  63.2  68.9  71.5  70.3  66.0  60.6  56.4  55.3  58.0  63.8  70.8  76.7  79.5  78.5  74.4  69.2  65.2  64.3 
 65.2  66.2  70.2  75.4  79.5  80.5  77.7  71.8  64.8  59.0  56.2  57.4  61.6  67.0  71.3  72.5  69.9  64.2  57.4  51.8  49.2  50.6  55.0  60.6  65.1  66.5  64.1  58.6  52.0  46.6  44.2  45.8  50.4  56.2  60.9  62.5  60.3  55.0  48.6  43.4  41.2  43.0  47.8  53.8  58.7  60.5  58.5  53.4  47.2  42.2  40.2  42.2  47.2  53.4  58.5  60.5  58.7  53.8  47.8  43.0  41.2  43.4  48.6  55.0  60.3  62.5  60.9  56.2  50.4  45.8  44.2  46.6  52.0  58.6  64.1  66.5  65.1  60.6  55.0  50.6  49.2  51.8  57.4  64.2  69.9  72.5  71.3  67.0  61.6  57.4  56.2  59.0  64.8  71.8  77.7  80.5  79.5  75.4  70.2  66.2  65.2 
 62.5  63.4  67.4  72.6  76.7  77.7  74.9  69.0  62.0  56.2  53.5  54.6  58.8  64.2  68.5  69.7  67.1  61.4  54.6  49.0  46.5  47.8  52.2  57.8  62.3  63.7  61.3  55.8  49.2  43.8  41.5  43.0  47.6  53.4  58.1  59.7  57.5  52.2  45.8  40.6  38.5  40.2  45.0  51.0  55.9  57.7  55.7  50.6  44.4  39.4  37.5  39.4  44.4  50.6  55.7  57.7  55.9  51.0  45.0  40.2  38.5  40.6  45.8  52.2  57.5  59.7  58.1  53.4  47.6  43.0  41.5  43.8  49.2  55.8  61.3  63.7  62.3  57.8  52.2  47.8  46.5  49.0  54.6  61.4  67.1  69.7  68.5  64.2  58.8  54.6  53.5  56.2  62.0  69.0  74.9  77.7  76.7  72.6  67.4  63.4  62.5 
 56.6  57.5  61.5  66.8  70.8  71.8  69.0  63.2  56.1  50.3  47.6  48.7  52.9  58.4  62.6  63.8  61.2  55.6  48.7  43.1  40.6  41.9  46.3  52.0  56.4  57.8  55.4  50.0  43.3  37.9  35.6  37.1  41.7  47.6  52.2  53.8  51.6  46.4  39.9  34.7  32.6  34.3  39.1  45.2  50.0  51.8  49.8  44.8  38.5  33.5  31.6  33.5  38.5  44.8  49.8  51.8  50.0  45.2  39.1  34.3  32.6  34.7  39.9  46.4  51.6  53.8  52.2  47.6  41.7  37.1  35.6  37.9  43.3  50.0  55.4  57.8  56.4  52.0  46.3  41.9  40.6  43.1  48.7  55.6  61.2  63.8  62.6  58.4  52.9  48.7  47.6  50.3  56.1  63.2  69.0  71.8  70.8  66.8  61.5  57.5  56.6 
 49.5  50.5  54.5  59.7  63.8  64.8  62.0  56.1  49.1  43.3  40.5  41.7  45.9  51.3  55.6  56.8  54.2  48.5  41.7  36.1  33.5  34.9  39.3  44.9  49.4  50.8  48.4  42.9  36.3  30.9  28.5  30.1  34.7  40.5  45.2  46.8  44.6  39.3  32.9  27.7  25.5  27.3  32.1  38.1  43.0  44.8  42.8  37.7  31.5  26.5  24.5  26.5  31.5  37.7  42.8  44.8  43.0  38.1  32.1  27.3  25.5  27.7  32.9  39.3  44.6  46.8  45.2  40.5  34.7  30.1  28.5  30.9  36.3  42.9  48.4  50.8  49.4  44.9  39.3  34.9  33.5  36.1  41.7  48.5  54.2  56.8  55.6  51.3  45.9  41.7  40.5  43.3  49.1  56.1  62.0  64.8  63.8  59.7  54.5  50.5  49.5 
 43.7  44.6  48.7  53.9  58.0  59.0  56.2  50.3  43.3  37.4  34.7  35.8  40.1  45.5  49.8  51.0  48.4  42.7  35.9  30.2  27.7  29.0  33.5  39.1  43.6  45.0  42.6  37.1  30.5  25.0  22.7  24.2  28.9  34.7  39.4  41.0  38.8  33.5  27.1  21.8  19.7  21.4  26.3  32.3  37.2  39.0  37.0  31.9  25.7  20.6  18.7  20.6  25.7  31.9  37.0  39.0  37.2  32.3  26.3  21.4  19.7  21.8  27.1  33.5  38.8  41.0  39.4  34.7  28.9  24.2  22.7  25.0  30.5  37.1  42.6  45.0  43.6  39.1  33.5  29.0  27.7  30.2  35.9  42.7  48.4  51.0  49.8  45.5  40.1  35.8  34.7  37.4  43.3  50.3  56.2  59.0  58.0  53.9  48.7  44.6  43.7 
